epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10
0,0.00298,0.00366,1e-05,-8e-05,0.06,18,36,54,72,90,108,126,144,162,180
1,0.00325,0.00366,0.00019,-9e-05,0.07,18,36,54,72,90,108,126,144,162,180
2,0.00393,0.00366,0.00073,-0.00017,0.09,18,36,54,72,90,108,126,144,162,180
3,0.00447,0.00488,0.0011,0.00093,0.1,18,36,54,72,90,108,126,144,162,180
4,0.00556,0.00732,0.00197,0.00323,0.12,18,36,54,72,90,108,126,144,162,180
5,0.00745,0.00854,0.00359,0.00433,0.13,18,36,54,72,90,108,126,144,162,180
6,0.00908,0.00976,0.00494,0.00539,0.15,18,36,54,72,90,108,126,144,162,180
7,0.01111,0.01098,0.00673,0.00641,0.16,18,36,54,72,91,108,126,144,162,180
8,0.01396,0.01098,0.00929,0.00628,0.18,18,36,54,73,91,108,126,144,162,180
9,0.01531,0.01341,0.01043,0.00865,0.19,18,36,54,73,91,108,126,144,162,180
10,0.01667,0.01463,0.01152,0.00961,0.21,18,36,54,73,91,108,126,144,162,180
11,0.01775,0.01707,0.01226,0.01186,0.23,18,36,54,73,91,108,126,144,162,180
12,0.01857,0.01707,0.01271,0.01163,0.25,18,36,54,73,91,108,125,144,162,180
13,0.01938,0.01707,0.0132,0.01147,0.26,18,36,54,73,91,108,125,144,162,180
14,0.01979,0.01707,0.01336,0.0113,0.28,18,36,54,73,91,108,125,143,163,180
15,0.02006,0.01707,0.01343,0.01117,0.29,18,36,54,73,91,108,125,143,163,180
16,0.02046,0.01829,0.01321,0.01179,0.31,18,36,54,73,91,108,125,143,163,180
17,0.03171,0.02683,0.01759,0.01354,0.32,18,36,54,73,91,108,125,143,163,180
18,0.05285,0.0561,0.03587,0.03957,0.34,18,36,54,73,91,108,125,143,163,180
19,0.07277,0.07561,0.05375,0.05705,0.36,19,36,54,73,91,108,125,143,163,180
20,0.07169,0.07439,0.05035,0.05387,0.37,19,36,54,73,91,108,125,143,163,180
21,0.07006,0.07317,0.04693,0.05102,0.39,19,36,54,73,91,108,125,143,163,180
22,0.0721,0.07439,0.04768,0.05091,0.4,19,36,54,73,91,108,125,143,163,180
23,0.07277,0.07195,0.04679,0.04572,0.42,19,36,53,73,91,108,125,143,163,180
24,0.07223,0.07195,0.04495,0.04465,0.43,19,36,53,73,91,108,125,143,163,180
25,0.07196,0.07195,0.04368,0.04367,0.45,19,36,53,73,91,108,125,143,163,181
26,0.07196,0.07195,0.04304,0.04309,0.46,19,36,53,73,91,108,125,143,163,181
27,0.07196,0.07195,0.04253,0.04204,0.48,19,36,53,73,91,108,125,143,163,181
28,0.07196,0.07195,0.04193,0.04163,0.49,19,36,53,73,91,108,125,143,163,181
29,0.07196,0.07195,0.04149,0.0413,0.51,19,36,53,73,91,108,125,143,163,181
30,0.07196,0.07195,0.04083,0.04088,0.52,19,36,53,73,91,108,125,143,163,181
31,0.0721,0.07195,0.03709,0.03688,0.54,19,36,53,73,91,108,125,143,163,181
32,0.07467,0.07439,0.02537,0.02181,0.56,19,36,53,73,91,108,125,143,163,181
33,0.12061,0.12195,0.04983,0.04491,0.57,19,36,53,73,91,108,125,143,163,181
34,0.14555,0.16341,0.0704,0.07952,0.59,19,36,53,73,91,108,125,143,163,181
35,0.15436,0.17317,0.07847,0.0881,0.6,19,36,53,73,91,108,125,143,163,181
36,0.15774,0.17561,0.08081,0.08888,0.62,19,36,53,73,91,108,125,142,163,181
37,0.16357,0.18415,0.0855,0.09568,0.63,19,36,53,73,91,108,125,142,163,181
38,0.16384,0.18415,0.08556,0.0952,0.65,19,36,53,73,91,108,125,142,163,181
39,0.16249,0.18415,0.08382,0.09461,0.67,19,36,53,73,91,108,125,142,163,181
40,0.16181,0.18293,0.0828,0.09222,0.68,19,36,53,73,91,108,125,142,163,181
41,0.15991,0.18293,0.08044,0.09152,0.7,19,36,53,73,91,108,125,142,163,181
42,0.15802,0.18171,0.07807,0.08987,0.71,19,36,53,73,91,108,125,142,163,181
43,0.15625,0.17805,0.07599,0.0854,0.73,19,36,53,73,91,108,125,142,163,181
44,0.15409,0.17805,0.07343,0.08515,0.74,19,36,53,73,91,108,125,142,163,181
45,0.15287,0.17561,0.07196,0.08203,0.76,19,36,53,73,91,108,125,142,163,181
46,0.15151,0.17439,0.07037,0.08063,0.77,19,36,53,73,91,108,125,142,163,181
47,0.14921,0.17317,0.06773,0.07892,0.79,19,36,53,73,91,108,125,142,163,181
48,0.14175,0.16707,0.05934,0.07177,0.8,19,36,53,73,91,108,125,142,163,181
49,0.13322,0.16098,0.04969,0.06451,0.82,19,36,53,73,91,108,125,142,163,181
