epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20
0,0.01924,0.01463,-0.00011,-0.0001,0.07,10,19,28,38,47,57,66,76,85,94,104,113,123,132,142,151,160,170,179,189
1,0.0206,0.01585,0.00025,-0.00016,0.09,10,19,28,38,47,57,66,76,85,94,104,113,123,132,142,151,160,170,179,189
2,0.02521,0.01707,0.00374,0.00021,0.12,10,19,28,38,47,57,66,76,85,94,104,113,123,132,142,151,160,170,179,189
3,0.02765,0.01829,0.00534,0.00082,0.14,10,19,28,38,47,57,66,76,85,94,104,113,123,132,142,151,160,170,179,189
4,0.02887,0.01951,0.0061,0.00148,0.17,10,19,28,38,47,57,66,76,85,94,104,113,123,132,142,151,160,170,179,189
5,0.03117,0.02439,0.00737,0.00563,0.19,10,19,28,38,47,57,66,76,85,94,104,113,123,132,142,151,161,170,179,189
6,0.03551,0.02439,0.00981,0.00452,0.22,10,19,28,38,47,57,66,76,85,94,103,113,123,132,142,151,161,170,179,189
7,0.03998,0.02805,0.01166,0.00496,0.25,10,19,28,38,47,57,66,76,85,94,103,113,123,132,142,151,161,170,179,189
8,0.04323,0.03293,0.0121,0.00715,0.27,10,19,28,38,47,57,66,76,85,94,103,113,123,132,142,151,161,170,179,188
9,0.04621,0.03415,0.01259,0.00646,0.3,10,19,28,38,47,57,66,76,85,94,103,113,123,133,142,151,161,170,179,188
10,0.04757,0.03537,0.01169,0.00553,0.33,10,19,28,38,47,57,66,76,85,94,103,113,123,133,142,150,161,170,179,188
11,0.05068,0.04146,0.01286,0.00943,0.35,10,19,28,38,47,57,66,76,85,94,103,113,123,133,142,150,161,170,179,188
12,0.0557,0.04756,0.0161,0.0136,0.38,10,19,28,38,47,57,66,76,84,94,103,113,123,133,142,150,161,170,179,188
13,0.05895,0.05244,0.01785,0.01671,0.41,10,19,28,38,47,57,66,76,84,94,103,113,123,133,142,150,161,170,179,188
14,0.06247,0.05244,0.02036,0.0153,0.44,10,19,28,38,47,57,65,76,84,94,103,112,123,133,142,150,161,170,179,188
15,0.066,0.05488,0.0231,0.01691,0.47,10,19,28,38,47,57,65,76,84,94,103,112,123,133,142,150,161,170,179,188
16,0.06735,0.0561,0.02391,0.01755,0.49,10,19,28,38,47,57,65,76,84,94,103,112,123,133,142,150,161,170,179,188
17,0.06912,0.0561,0.02541,0.01735,0.52,10,19,28,38,47,57,65,76,84,94,103,112,123,133,142,150,161,170,179,188
18,0.06939,0.0561,0.02558,0.01721,0.55,10,19,28,38,47,57,65,76,84,93,103,112,124,133,142,150,161,170,179,188
19,0.06966,0.05732,0.02576,0.01818,0.58,10,19,28,38,47,58,65,76,84,93,103,112,124,133,142,150,161,170,179,188
20,0.06993,0.05732,0.02596,0.01794,0.61,10,19,28,38,47,58,65,76,84,93,103,112,124,133,142,150,161,170,179,188
21,0.07061,0.05732,0.02657,0.01794,0.64,10,19,28,38,47,58,65,76,84,93,103,112,124,133,142,150,161,170,179,188
22,0.07142,0.05732,0.02729,0.01794,0.67,10,19,28,38,47,58,65,76,84,93,103,112,124,133,142,150,161,170,179,188
23,0.08199,0.06585,0.03707,0.02537,0.69,10,19,28,38,47,58,65,76,84,93,103,112,124,133,142,150,161,170,179,188
24,0.11058,0.09756,0.06172,0.05354,0.72,10,19,28,38,47,58,65,76,84,93,103,112,124,133,142,150,161,170,179,188
25,0.124,0.11098,0.0661,0.05976,0.75,10,19,28,38,47,58,65,76,85,93,103,112,124,133,142,150,161,170,179,188
26,0.15287,0.13171,0.07857,0.06248,0.78,10,19,28,38,47,58,65,76,85,93,103,112,124,133,142,150,161,170,179,188
27,0.16398,0.14024,0.07979,0.06084,0.81,10,19,28,38,47,58,65,76,85,93,103,112,124,133,142,150,161,170,179,188
28,0.16588,0.1439,0.07595,0.05751,0.83,10,19,28,38,47,58,65,76,85,93,103,112,124,133,142,150,161,170,179,188
29,0.1633,0.14878,0.06935,0.05846,0.86,10,19,28,38,47,58,65,76,85,93,103,112,124,134,142,150,161,170,179,188
30,0.16276,0.15,0.06674,0.05672,0.89,10,19,28,38,47,58,65,76,85,93,103,112,124,134,142,150,161,170,179,188
31,0.16235,0.15,0.06491,0.05496,0.92,10,19,28,38,47,58,65,76,85,93,103,112,124,134,142,150,161,170,179,188
32,0.16127,0.14878,0.06268,0.05308,0.95,10,19,28,38,47,58,65,76,85,93,103,113,124,134,142,150,161,170,179,188
33,0.16086,0.15,0.06134,0.05351,0.97,10,19,28,38,47,58,65,76,85,93,103,113,124,134,142,150,161,170,179,188
34,0.16086,0.15,0.06047,0.05258,1.0,10,19,28,38,47,58,65,76,85,93,103,113,124,134,142,149,161,170,179,188
35,0.16086,0.15,0.05986,0.05149,1.03,10,19,28,38,47,58,64,76,85,93,103,113,124,134,142,149,161,170,180,188
36,0.161,0.15,0.05938,0.05087,1.06,10,19,28,38,46,58,64,76,85,93,103,113,124,134,142,149,161,170,180,188
37,0.16317,0.15122,0.06091,0.05133,1.09,10,19,28,38,46,58,64,76,85,93,103,113,124,134,142,149,161,170,180,188
38,0.17008,0.15976,0.06667,0.05923,1.11,10,19,28,38,46,58,64,76,85,93,103,113,124,134,142,149,161,170,180,188
39,0.19203,0.17561,0.08629,0.07294,1.14,10,19,28,38,46,58,64,76,85,93,103,113,125,134,142,149,161,170,180,188
40,0.24163,0.21585,0.13342,0.11098,1.17,10,19,28,38,46,58,64,76,85,93,103,113,125,134,142,149,161,170,180,188
41,0.27117,0.24146,0.16078,0.13514,1.19,10,19,28,39,46,58,64,76,85,93,103,113,125,134,142,149,161,170,180,188
42,0.28202,0.25,0.16932,0.14113,1.22,10,19,28,39,46,58,64,76,85,93,103,113,125,134,142,149,161,170,180,188
43,0.27863,0.25,0.16422,0.14024,1.25,10,19,28,39,46,58,64,76,85,93,103,113,125,134,142,149,161,170,180,188
44,0.26765,0.23902,0.15023,0.12657,1.28,10,19,28,39,46,58,64,76,85,93,103,113,125,134,142,149,160,170,180,188
45,0.26724,0.23902,0.14968,0.12657,1.3,10,19,28,39,46,58,64,76,85,93,103,113,125,134,142,149,160,170,180,188
