epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10
0,0.01164,0.01274,0.13576,0.12917,1.1,382,760,1138,1516,1891,2271,2647,3024,3403,3780
1,0.02135,0.02326,0.13509,0.12848,1.12,383,761,1139,1517,1890,2271,2646,3023,3403,3780
2,0.02832,0.03079,0.13461,0.12799,1.14,383,761,1140,1518,1889,2271,2645,3023,3402,3779
3,0.03293,0.03575,0.13429,0.12766,1.15,383,761,1140,1519,1888,2270,2644,3022,3402,3779
4,0.03572,0.0387,0.1341,0.12746,1.17,384,761,1141,1519,1887,2270,2643,3021,3402,3779
5,0.03734,0.04038,0.13398,0.12735,1.18,384,761,1142,1520,1886,2270,2642,3020,3401,3778
6,0.03843,0.0415,0.13391,0.12728,1.2,384,760,1142,1521,1885,2270,2641,3019,3401,3778
7,0.03955,0.04266,0.13383,0.1272,1.21,385,760,1143,1522,1885,2270,2641,3019,3400,3777
8,0.04103,0.04418,0.13373,0.1271,1.23,385,759,1143,1523,1884,2270,2640,3018,3400,3777
9,0.043,0.04621,0.13359,0.12697,1.25,385,759,1144,1523,1884,2270,2640,3017,3399,3777
10,0.0454,0.0487,0.13342,0.1268,1.27,386,758,1144,1524,1883,2270,2640,3016,3398,3776
11,0.04813,0.05156,0.13323,0.12661,1.28,386,758,1144,1525,1883,2270,2640,3015,3398,3776
12,0.05105,0.05463,0.13303,0.1264,1.3,386,757,1145,1525,1883,2270,2641,3014,3397,3775
13,0.054,0.05775,0.13282,0.12619,1.32,387,756,1145,1526,1883,2270,2641,3014,3397,3775
14,0.05687,0.06079,0.13262,0.12599,1.33,387,756,1145,1526,1883,2270,2642,3013,3396,3775
15,0.05958,0.06365,0.13243,0.1258,1.35,387,755,1145,1527,1884,2270,2642,3012,3395,3774
16,0.0621,0.0663,0.13225,0.12562,1.37,388,754,1145,1528,1884,2270,2643,3011,3395,3774
17,0.06444,0.06878,0.13208,0.12545,1.38,388,754,1145,1528,1884,2270,2643,3010,3394,3773
18,0.06667,0.07111,0.13193,0.1253,1.4,388,753,1145,1529,1884,2270,2643,3010,3393,3773
19,0.06887,0.07342,0.13177,0.12514,1.41,389,752,1145,1530,1884,2270,2644,3009,3393,3773
20,0.07112,0.07576,0.13161,0.12498,1.44,389,752,1146,1531,1885,2270,2645,3009,3392,3772
21,0.07349,0.07822,0.13144,0.12482,1.47,390,751,1146,1532,1885,2270,2645,3008,3392,3772
22,0.07599,0.08083,0.13127,0.12464,1.5,390,750,1146,1533,1885,2270,2646,3008,3391,3772
23,0.07863,0.0836,0.13108,0.12445,1.52,390,750,1146,1534,1885,2271,2647,3007,3390,3771
24,0.08136,0.08648,0.13088,0.12426,1.54,391,749,1146,1535,1885,2271,2648,3007,3390,3771
25,0.08414,0.0894,0.13069,0.12406,1.55,391,748,1146,1536,1885,2271,2648,3006,3389,3771
26,0.08692,0.09231,0.13049,0.12386,1.57,391,748,1146,1538,1885,2271,2649,3006,3388,3770
27,0.08964,0.09514,0.13029,0.12367,1.59,392,747,1147,1539,1886,2271,2650,3006,3388,3770
28,0.09228,0.09789,0.1301,0.12348,1.6,392,746,1147,1540,1886,2271,2651,3006,3387,3770
29,0.09483,0.10054,0.12992,0.1233,1.62,393,746,1147,1541,1886,2271,2652,3005,3387,3769
30,0.09729,0.10308,0.12974,0.12312,1.63,393,745,1147,1542,1886,2271,2653,3005,3386,3769
31,0.09969,0.10553,0.12957,0.12295,1.65,393,744,1147,1543,1887,2270,2653,3005,3385,3769
32,0.10204,0.10793,0.1294,0.12279,1.66,394,743,1147,1544,1887,2270,2654,3005,3385,3768
33,0.10439,0.11033,0.12923,0.12262,1.68,394,743,1147,1545,1887,2270,2654,3004,3384,3768
34,0.10674,0.11273,0.12906,0.12246,1.69,394,742,1147,1546,1888,2270,2655,3004,3384,3768
35,0.1091,0.11514,0.12889,0.12229,1.71,395,741,1146,1547,1888,2270,2655,3004,3383,3767
36,0.11145,0.11755,0.12872,0.12212,1.72,395,740,1146,1547,1889,2270,2655,3004,3383,3767
37,0.11379,0.11996,0.12855,0.12196,1.74,396,740,1146,1548,1889,2270,2655,3004,3382,3767
38,0.11613,0.12236,0.12838,0.12179,1.75,396,739,1146,1549,1890,2270,2655,3004,3382,3766
39,0.11846,0.12476,0.12821,0.12162,1.77,396,738,1145,1550,1890,2270,2655,3003,3381,3766
40,0.1208,0.12718,0.12804,0.12146,1.78,397,737,1145,1550,1891,2270,2655,3003,3381,3766
41,0.12317,0.12964,0.12787,0.12129,1.8,397,736,1145,1551,1891,2270,2654,3003,3380,3766
42,0.12557,0.13211,0.1277,0.12111,1.82,397,736,1144,1552,1892,2269,2654,3003,3380,3765
43,0.128,0.13461,0.12752,0.12094,1.83,398,735,1144,1553,1893,2269,2654,3002,3379,3765
44,0.13045,0.13711,0.12734,0.12076,1.85,398,734,1144,1553,1893,2269,2653,3002,3379,3765
45,0.13292,0.13964,0.12716,0.12059,1.86,398,733,1143,1554,1894,2269,2653,3002,3379,3765
46,0.1354,0.14216,0.12698,0.12041,1.88,399,732,1143,1555,1894,2269,2653,3002,3378,3764
47,0.1379,0.14469,0.12679,0.12023,1.89,399,732,1142,1555,1895,2269,2653,3001,3378,3764
48,0.14039,0.1472,0.12661,0.12006,1.91,400,731,1142,1556,1895,2269,2654,3001,3377,3764
49,0.14288,0.1497,0.12643,0.11988,1.92,400,730,1141,1557,1895,2270,2654,3001,3377,3764
50,0.14537,0.15222,0.12624,0.1197,1.94,400,729,1141,1557,1896,2270,2654,3000,3377,3764
51,0.14787,0.15474,0.12606,0.11952,1.96,401,728,1140,1558,1896,2270,2654,3000,3377,3763
52,0.15038,0.15727,0.12587,0.11934,1.97,401,727,1139,1559,1897,2270,2654,3000,3376,3763
53,0.15289,0.1598,0.12568,0.11917,1.99,401,727,1139,1559,1897,2270,2654,2999,3376,3763
54,0.15541,0.1623,0.1255,0.11899,2.01,402,726,1138,1560,1898,2270,2654,2999,3376,3763
55,0.15794,0.16483,0.12531,0.11881,2.02,402,725,1137,1560,1898,2270,2654,2999,3376,3763
56,0.16047,0.16736,0.12512,0.11863,2.04,402,724,1136,1561,1899,2270,2654,2998,3375,3763
57,0.16301,0.16991,0.12493,0.11845,2.06,403,723,1136,1562,1899,2270,2654,2998,3375,3762
58,0.16555,0.17245,0.12474,0.11826,2.07,403,722,1135,1562,1900,2269,2654,2998,3375,3762
