epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10
0,0,0,0.13749127116456916,0.12488523818002847,0.15,382,759,1138,1514,1891,2269,2647,3024,3402,3780
1,0.0020611915723489638,0.009002032184609932,0.1366954715529654,0.12411813049620896,0.16,383,758,1139,1513,1890,2268,2646,3023,3401,3780
2,0.010923924027708809,0.018015940656504137,0.13608711657907646,0.12355236642245104,0.17,383,758,1140,1513,1889,2267,2645,3023,3401,3779
3,0.017636107035669313,0.024577186543606966,0.1356245670223796,0.12313890421608557,0.18,383,757,1140,1513,1888,2267,2644,3022,3400,3779
4,0.023076761903114695,0.029833911708191385,0.13524848706788312,0.1228066476005017,0.19,384,756,1141,1514,1887,2267,2643,3021,3400,3778
5,0.027984750367992417,0.034775014356626666,0.1349083103634963,0.12249352525002107,0.2,384,756,1142,1514,1886,2267,2642,3020,3399,3778
6,0.032870624943290405,0.03987789736260727,0.13456883090550392,0.12216929809310562,0.21,384,755,1143,1515,1885,2268,2641,3020,3398,3778
7,0.03803508459261562,0.04543658181297505,0.1342090502377043,0.12181513245127451,0.22,385,755,1144,1516,1884,2268,2640,3019,3398,3777
8,0.04347532441272095,0.051535692575134795,0.13382900644157955,0.12142534002181267,0.23,385,754,1144,1517,1883,2268,2640,3019,3397,3777
9,0.049081074427675175,0.0580655199979907,0.13343628085470619,0.1210066343554673,0.24,385,753,1145,1518,1882,2267,2639,3018,3396,3777
10,0.05465836480872044,0.06475777892700874,0.13304439103321586,0.12057600935710837,0.25,386,753,1146,1519,1881,2267,2638,3018,3396,3776
11,0.05997223191304579,0.07125311147966151,0.1326699333188105,0.12015656856896442,0.27,386,752,1147,1520,1880,2267,2637,3018,3395,3776
12,0.06484582374274794,0.07729193847951044,0.13232557007497267,0.119765297347415,0.28,386,752,1148,1521,1879,2267,2636,3018,3395,3775
13,0.06917858060223792,0.08268377951292216,0.13201866908203458,0.11941485815559937,0.29,387,751,1149,1521,1878,2267,2635,3017,3394,3775
14,0.07294366304420663,0.08742359941473343,0.13175140072342176,0.11910594763835772,0.3,387,750,1150,1522,1877,2267,2635,3017,3394,3775
15,0.07625777655577304,0.09160631849083622,0.13151569324395104,0.11883267877971049,0.31,387,750,1150,1523,1876,2267,2634,3017,3393,3774
16,0.0792618816414854,0.09528146437639207,0.13130166620639436,0.11859205071987179,0.32,388,749,1151,1524,1875,2267,2633,3016,3392,3774
17,0.08215478555541678,0.09872247253798117,0.1310952324266242,0.11836631269863739,0.33,388,749,1152,1525,1874,2267,2632,3016,3392,3774
18,0.08508812194727289,0.10212930972976086,0.13088558418510132,0.11814238609552255,0.34,388,748,1153,1526,1873,2267,2631,3015,3391,3773
19,0.08812098041418781,0.10551049418623071,0.13066845816615555,0.11791972442673605,0.35,389,747,1153,1527,1872,2267,2630,3014,3391,3773
20,0.09124072018649043,0.10890815655188779,0.13044474517969404,0.11769555744812878,0.36,389,747,1154,1527,1871,2267,2629,3013,3390,3773
21,0.09436256675416399,0.11223457303408002,0.1302204976757582,0.11747567982794557,0.37,389,746,1154,1528,1870,2268,2629,3012,3390,3772
22,0.09741837340027493,0.11541181926821786,0.13000061314694988,0.11726527017670586,0.38,390,745,1154,1529,1869,2268,2628,3012,3389,3772
23,0.10035816488316496,0.11835273585115025,0.12978873753827022,0.11707017509062896,0.39,390,744,1154,1529,1868,2268,2627,3011,3389,3772
24,0.10315236772744607,0.1211052949239092,0.1295870230855746,0.11688728421595905,0.4,390,744,1155,1530,1868,2268,2626,3010,3388,3772
25,0.1057857726745679,0.12384707928717653,0.12939663291519915,0.11670482494343448,0.41,391,743,1155,1531,1867,2268,2625,3009,3388,3771
26,0.10831431050991891,0.12655977339590263,0.1292135592551635,0.11652401417261206,0.42,391,742,1155,1531,1866,2268,2624,3008,3387,3771
27,0.11075820835595729,0.12928397212145704,0.129036360880805,0.1163421539201771,0.43,391,742,1155,1532,1866,2267,2623,3007,3387,3771
28,0.11321676180367801,0.1322144362745421,0.12885785639416053,0.11614621387584709,0.44,392,741,1155,1533,1865,2267,2622,3006,3387,3771
29,0.11574381772744635,0.13531552384670853,0.12867413198625952,0.11593850041546497,0.45,392,740,1156,1533,1865,2267,2621,3005,3386,3771
30,0.11832927625033351,0.13850088789068693,0.128485868365741,0.11572475270492928,0.46,392,740,1156,1534,1865,2267,2620,3005,3386,3770
31,0.12090095471715123,0.14167269599705312,0.1282983592747425,0.11551152054037368,0.47,393,739,1156,1535,1864,2267,2619,3004,3385,3770
32,0.1233945354408611,0.14472417657360614,0.1281162604979945,0.11530600358268919,0.48,393,738,1156,1536,1864,2267,2618,3003,3385,3770
33,0.1257907395034844,0.1476030588479319,0.1279410437282753,0.1151117828454399,0.49,393,738,1156,1536,1864,2267,2617,3002,3385,3770
34,0.12812321412923489,0.15033593843071136,0.1277702444500334,0.11492710040703835,0.5,394,737,1156,1537,1864,2267,2616,3002,3385,3770
35,0.1304401469448243,0.15296809162648262,0.12760036975375777,0.11474895473728243,0.51,394,736,1156,1538,1864,2268,2615,3001,3384,3769
36,0.13278862058446605,0.155562267730045,0.1274279444808424,0.11457309261711635,0.52,395,735,1156,1539,1864,2268,2615,3000,3384,3769
