epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15
0,0,0,0.1593060898465843,0.16300907722309776,0.14,264,524,784,1043,1303,1561,1820,2080,2340,2599,2859,3120,3379,3638,3898
1,0,0,0.15575842420388336,0.15949142681970946,0.16,264,524,784,1044,1304,1560,1819,2081,2339,2598,2858,3121,3378,3638,3898
2,0,0,0.15268982801056252,0.15644672050271094,0.17,265,525,785,1045,1305,1559,1818,2081,2339,2597,2857,3122,3377,3637,3898
3,0,0,0.15013291212317706,0.1539036835296732,0.18,265,525,786,1046,1306,1558,1817,2080,2338,2596,2856,3123,3377,3637,3897
4,0,0,0.14808960350850087,0.15186328806478377,0.19,265,526,786,1046,1307,1557,1817,2080,2338,2596,2856,3123,3376,3636,3897
5,0,0,0.1465310403879708,0.15030052532907215,0.21,265,526,787,1047,1307,1556,1816,2080,2337,2596,2855,3124,3375,3636,3897
6,0,0,0.1453991490611536,0.14914297306856103,0.22,265,527,787,1048,1308,1556,1815,2080,2337,2597,2854,3125,3375,3636,3896
7,0,0,0.14461309461173796,0.14832476676780806,0.23,266,527,788,1049,1309,1555,1814,2079,2336,2597,2853,3126,3374,3635,3896
8,0,0,0.14408390950430086,0.14774956781909881,0.24,266,527,788,1049,1310,1554,1813,2078,2336,2597,2853,3126,3373,3635,3896
9,0,0,0.14371978582177725,0.14734683769809567,0.26,266,528,789,1050,1310,1554,1813,2077,2335,2597,2852,3127,3373,3635,3896
10,0,0,0.1434413176799345,0.14702911813226185,0.27,266,528,789,1051,1311,1553,1812,2077,2335,2597,2852,3128,3372,3635,3896
11,0,0,0.14318303897090903,0.14672590053468537,0.28,266,529,790,1051,1312,1553,1811,2076,2335,2597,2851,3128,3371,3635,3895
12,0,0,0.14289640800783013,0.1463996260578625,0.29,266,529,790,1052,1313,1553,1811,2075,2334,2596,2851,3129,3371,3635,3895
13,0,0,0.14255206640738444,0.14601809358219442,0.3,267,530,790,1053,1313,1553,1811,2074,2334,2596,2851,3130,3370,3635,3895
14,0,0,0.14214092005187148,0.1455764160747889,0.32,267,530,791,1053,1314,1553,1810,2073,2333,2596,2850,3130,3369,3635,3895
15,0,0,0.14166697602612247,0.1450729143422039,0.33,267,531,791,1054,1314,1553,1810,2072,2333,2597,2850,3131,3369,3635,3895
16,0,0,0.1411390248084092,0.14451319349752934,0.34,267,531,791,1054,1315,1553,1810,2070,2333,2597,2850,3131,3368,3635,3894
17,0,0,0.1405723128695086,0.14392206322584475,0.35,267,531,792,1055,1316,1553,1810,2069,2332,2597,2850,3132,3367,3635,3894
18,0,0,0.13998607686538247,0.1433202425066823,0.36,267,532,792,1056,1316,1553,1810,2068,2332,2597,2850,3132,3367,3636,3894
19,0,0,0.1394037557347579,0.1427358708358081,0.38,267,532,793,1056,1317,1554,1809,2067,2332,2597,2850,3133,3366,3636,3894
20,0,0,0.1388435644130939,0.1421726811200942,0.39,267,533,793,1057,1317,1554,1809,2066,2331,2596,2850,3133,3365,3636,3894
21,0,0,0.1383201881048316,0.14164373493304752,0.4,267,533,794,1057,1318,1554,1809,2065,2331,2596,2850,3133,3365,3636,3893
22,0,0,0.13784254602923912,0.1411601058200246,0.41,267,533,794,1058,1318,1555,1809,2064,2331,2596,2850,3134,3364,3637,3893
23,0,0,0.1374158661457377,0.14072120872245458,0.42,267,534,795,1058,1319,1555,1809,2062,2330,2596,2850,3134,3363,3637,3893
24,0,0,0.13703897983971952,0.14032145030907592,0.43,267,534,795,1059,1319,1555,1809,2061,2330,2596,2850,3135,3363,3637,3893
25,0,0,0.13670552734738944,0.13996227718375395,0.45,267,535,796,1059,1320,1555,1809,2060,2329,2596,2850,3135,3362,3637,3893
26,0,0,0.13640522429920676,0.13963630596898843,0.46,267,535,797,1060,1321,1556,1809,2059,2329,2597,2850,3136,3361,3638,3893
27,0.0014284235731016892,0.0009172336791322122,0.13612691300031404,0.13933378397071705,0.47,267,535,797,1060,1321,1556,1808,2058,2329,2597,2850,3136,3361,3638,3892
28,0.0053659771427514436,0.0050538584113462015,0.1358582665835283,0.13904503862716044,0.48,267,536,798,1061,1322,1556,1808,2057,2328,2597,2849,3136,3360,3638,3892
29,0.009323254428767802,0.009242846976557972,0.13558772787913906,0.1387520142142695,0.49,267,536,799,1062,1322,1556,1808,2055,2328,2597,2849,3137,3360,3638,3892
30,0.013422262620797043,0.013625326720650754,0.1353069366716589,0.13844480190653297,0.5,267,536,799,1062,1323,1556,1808,2054,2327,2597,2849,3137,3359,3639,3892
31,0.017705359826495237,0.01821058456835456,0.13501290426348264,0.13812263950643897,0.51,267,537,800,1063,1324,1556,1807,2053,2327,2597,2848,3138,3358,3639,3892
32,0.02223284316904972,0.022989079338959773,0.13470140945143919,0.13778609130912392,0.53,268,537,801,1063,1324,1556,1807,2052,2326,2597,2847,3138,3358,3639,3891
33,0.026926473422018704,0.02789976377866743,0.13437770907310456,0.13743939527130286,0.54,268,537,802,1064,1325,1556,1807,2051,2326,2596,2847,3138,3357,3639,3891
