epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10
0,0,0,0.18519,0.191,3.25,382,759,1136,1514,1891,2271,2649,3024,3403,3781
1,0,0,0.1817,0.18758,3.29,383,758,1135,1513,1890,2271,2648,3023,3403,3781
2,0,0,0.17828,0.18423,3.33,383,758,1135,1512,1889,2271,2648,3023,3403,3782
3,0,0,0.17493,0.18096,3.36,383,757,1134,1511,1888,2270,2648,3022,3403,3782
4,0,0,0.17168,0.17778,3.4,384,756,1133,1510,1887,2270,2649,3021,3402,3782
5,0,0,0.16853,0.17471,3.44,384,756,1132,1509,1886,2270,2649,3020,3403,3783
6,0,0,0.16553,0.17177,3.47,384,755,1132,1508,1885,2270,2648,3019,3403,3783
7,0,0,0.16268,0.16898,3.51,384,754,1131,1507,1884,2270,2648,3018,3403,3783
8,0,0,0.15999,0.16635,3.55,385,754,1131,1506,1883,2269,2648,3018,3403,3784
9,0,0,0.15747,0.16389,3.59,385,753,1130,1505,1882,2269,2648,3017,3403,3784
10,0,0,0.15514,0.16159,3.62,385,753,1130,1504,1881,2269,2648,3016,3403,3784
11,0,0,0.15298,0.15947,3.65,385,752,1129,1503,1881,2269,2649,3015,3403,3785
12,0,0,0.15099,0.15752,3.68,385,752,1129,1502,1880,2270,2648,3014,3403,3785
13,0,0,0.14919,0.15574,3.72,385,751,1129,1502,1879,2270,2648,3013,3402,3785
14,0,0,0.14755,0.15413,3.75,386,751,1128,1501,1878,2270,2648,3012,3402,3785
15,0,0,0.14608,0.15267,3.79,386,750,1128,1500,1878,2270,2648,3011,3402,3786
16,0,0,0.14476,0.15136,3.82,386,750,1128,1499,1877,2270,2648,3010,3402,3786
17,0,0,0.14359,0.1502,3.84,386,750,1128,1499,1877,2270,2648,3010,3401,3786
18,0,0,0.14256,0.14917,3.88,387,749,1128,1498,1876,2269,2648,3009,3401,3786
19,0,0,0.14166,0.14828,3.92,387,749,1128,1497,1876,2269,2648,3008,3400,3786
20,0,0,0.14088,0.14751,3.96,387,749,1128,1497,1876,2269,2648,3007,3400,3786
21,0,0,0.14021,0.14684,3.99,387,749,1128,1496,1876,2269,2648,3006,3400,3786
22,0,0,0.13963,0.14626,4.02,388,749,1128,1496,1876,2269,2648,3006,3399,3787
23,0,0,0.13915,0.14577,4.05,388,749,1128,1495,1875,2269,2648,3005,3399,3787
24,0,0,0.13874,0.14536,4.09,388,749,1128,1495,1875,2269,2648,3004,3398,3787
25,0,0,0.1384,0.14501,4.13,389,749,1128,1495,1875,2269,2648,3004,3398,3787
26,0,0,0.13813,0.14472,4.17,389,750,1128,1494,1875,2269,2648,3003,3397,3787
27,0,0,0.1379,0.14448,4.2,390,750,1129,1494,1875,2268,2648,3002,3397,3787
28,0,0,0.13772,0.14428,4.23,390,750,1129,1494,1875,2268,2648,3002,3396,3787
29,0,0,0.13758,0.14412,4.27,390,750,1129,1494,1875,2268,2648,3001,3395,3786
30,0.00074,0,0.13746,0.14399,4.3,391,751,1130,1494,1875,2267,2648,3001,3395,3786
31,0.00205,0,0.13737,0.14388,4.34,391,751,1130,1494,1875,2267,2647,3000,3394,3786
32,0.00308,0.00058,0.1373,0.14379,4.37,392,751,1131,1493,1875,2267,2647,3000,3394,3786
33,0.00394,0.00163,0.13724,0.14371,4.4,392,751,1131,1493,1874,2267,2647,3000,3393,3786
34,0.00469,0.00257,0.13719,0.14365,4.43,393,752,1132,1493,1874,2266,2647,2999,3393,3786
35,0.0054,0.00346,0.13714,0.14358,4.47,393,752,1132,1493,1874,2266,2647,2999,3392,3786
36,0.0061,0.00435,0.13709,0.14352,4.51,394,753,1133,1493,1874,2266,2646,2999,3391,3786
