epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15
0,0,0,0.16914,0.17281,0.21,4,8,12,16,20,25,29,33,37,41,45,49,53,57,61
1,0,0,0.16476,0.16869,0.27,4,8,12,16,20,25,29,33,37,41,45,49,53,57,61
2,0,0,0.16056,0.16478,0.32,4,8,12,16,21,25,29,33,37,41,45,49,53,57,61
3,0,0,0.15658,0.16109,0.38,4,8,12,16,21,25,29,33,37,41,45,49,53,57,61
4,0,0,0.15287,0.15767,0.43,4,8,12,16,21,25,29,33,37,41,45,49,53,57,61
5,0,0,0.14949,0.1546,0.48,4,8,12,16,21,25,29,33,37,41,45,49,53,57,61
6,0,0,0.14652,0.15192,0.53,4,8,12,16,21,25,29,33,37,41,45,49,53,57,61
7,0,0,0.14398,0.14967,0.59,4,8,12,16,21,25,29,33,37,41,45,49,53,57,61
8,0,0,0.14191,0.14787,0.64,4,8,12,16,21,25,29,33,37,41,45,49,53,57,61
9,0,0,0.1403,0.14651,0.69,4,8,12,16,21,25,29,33,37,41,45,49,53,57,61
10,0,0,0.13912,0.14556,0.75,4,8,12,16,21,25,29,33,37,41,45,49,53,57,61
11,0,0,0.13834,0.14498,0.8,4,8,12,16,21,25,29,33,37,41,45,49,53,57,61
12,0.00179,0,0.1379,0.14472,0.84,4,8,12,16,21,25,29,33,37,41,45,49,53,57,61
13,0.00395,0,0.13775,0.14472,0.88,4,8,12,16,21,25,29,32,37,41,45,49,53,57,61
14,0.00288,0,0.13783,0.14491,0.94,4,8,12,16,21,25,29,32,37,41,45,49,53,57,61
15,0,0,0.13805,0.14523,0.99,4,8,12,16,21,25,29,32,37,41,45,49,53,57,61
16,0,0,0.13836,0.14562,1.04,4,8,12,16,21,25,29,32,37,41,45,49,53,57,61
17,0,0,0.13869,0.146,1.09,4,8,12,16,21,25,29,32,37,41,45,49,53,57,61
18,0,0,0.13897,0.14633,1.15,4,8,12,17,21,25,29,32,37,41,45,49,53,57,61
19,0,0,0.13917,0.14656,1.2,4,8,13,17,21,25,29,32,37,41,45,49,53,57,61
20,0,0,0.13925,0.14665,1.25,4,8,13,17,21,25,29,32,37,41,45,49,53,57,61
21,0,0,0.1392,0.1466,1.31,4,8,13,17,21,25,29,32,37,41,45,49,53,57,61
22,0,0,0.13903,0.14642,1.36,4,8,13,17,21,25,29,32,37,41,45,49,53,57,61
23,0,0,0.13875,0.14612,1.41,4,8,13,17,21,25,29,32,37,41,45,49,53,57,61
24,0,0,0.1384,0.14574,1.45,4,8,13,17,21,25,29,32,37,40,45,49,53,57,61
25,0.00026,0,0.13801,0.14531,1.51,4,8,13,17,21,25,29,32,37,40,45,49,53,57,61
26,0.00616,0,0.1376,0.14485,1.56,4,8,13,17,21,25,29,32,37,40,45,49,53,57,61
27,0.01186,0.00358,0.13721,0.14441,1.62,4,8,13,16,21,25,29,32,37,40,45,49,53,57,61
28,0.01708,0.00938,0.13684,0.14399,1.66,4,8,13,16,21,25,29,32,37,40,45,49,53,57,61
29,0.02165,0.0146,0.13652,0.14361,1.71,4,8,13,16,21,25,29,32,36,40,45,49,53,57,61
30,0.0255,0.01916,0.13626,0.14327,1.76,4,8,13,16,21,25,29,32,36,40,45,49,53,57,61
31,0.02865,0.02306,0.13603,0.14299,1.81,4,8,13,16,21,25,29,32,36,40,45,49,53,57,61
32,0.03123,0.02638,0.13585,0.14274,1.86,4,8,13,16,21,25,29,32,36,40,45,49,53,57,61
33,0.03339,0.02925,0.1357,0.14253,1.91,4,8,13,16,21,25,29,32,36,40,45,49,53,57,61
34,0.03531,0.03181,0.13557,0.14235,1.97,4,8,13,16,21,25,29,32,36,40,45,49,53,57,61
35,0.03714,0.03417,0.13544,0.14217,2.02,4,8,13,16,21,25,29,32,36,40,45,49,53,57,61
36,0.03902,0.03645,0.13531,0.14201,2.06,4,8,13,16,21,25,29,32,36,40,45,49,53,57,61
37,0.04102,0.03871,0.13517,0.14184,2.11,4,8,13,16,21,25,29,32,36,40,45,49,53,57,61
38,0.04318,0.041,0.13501,0.14167,2.17,4,8,13,16,21,25,29,32,36,40,45,49,53,57,61
39,0.04551,0.04336,0.13485,0.1415,2.23,4,8,13,16,21,25,29,32,36,40,45,49,53,57,61
40,0.048,0.04576,0.13467,0.14132,2.27,4,8,13,16,21,25,29,32,36,40,45,49,53,57,61
41,0.05063,0.04821,0.13449,0.14114,2.33,4,8,13,16,21,25,29,32,36,40,45,49,53,57,61
42,0.05333,0.05062,0.13429,0.14096,2.38,4,8,13,16,21,25,29,32,36,40,45,49,53,57,61
43,0.05605,0.05294,0.1341,0.14078,2.45,4,8,13,16,21,25,29,32,36,40,45,49,53,57,61
44,0.05871,0.05515,0.13391,0.14062,2.49,4,8,13,16,21,25,29,32,36,40,45,49,53,57,61
45,0.06128,0.05722,0.13373,0.14047,2.54,4,8,13,16,21,25,29,32,36,40,45,49,53,57,61
46,0.06373,0.05918,0.13356,0.14032,2.59,4,8,13,16,21,25,29,32,36,40,45,49,53,57,61
47,0.06606,0.06107,0.13339,0.14018,2.64,4,8,13,16,21,25,29,32,36,40,45,49,53,57,61
48,0.06828,0.06288,0.13323,0.14004,2.69,4,8,13,16,21,25,29,32,36,40,45,49,53,57,61
49,0.07043,0.06467,0.13308,0.13991,2.75,4,8,13,16,21,25,29,32,36,40,45,49,53,57,61
50,0.0725,0.06646,0.13293,0.13978,2.8,4,8,13,16,21,25,29,32,36,40,45,49,53,57,61
51,0.07454,0.0682,0.13278,0.13965,2.85,4,8,13,16,21,25,29,32,36,40,45,49,53,57,61
52,0.07657,0.07002,0.13264,0.13951,2.9,4,8,13,16,21,25,29,32,36,40,45,49,53,57,61
53,0.07874,0.07209,0.13248,0.13935,2.95,4,8,13,16,21,25,29,32,36,40,45,49,53,57,61
54,0.08115,0.0745,0.13231,0.13917,3.0,4,8,13,16,21,25,29,32,36,40,45,49,53,57,61
55,0.08381,0.07729,0.13212,0.13896,3.05,4,8,13,16,21,25,29,32,36,40,45,49,53,57,61
56,0.08663,0.08036,0.13191,0.13873,3.09,4,8,13,16,21,25,29,32,36,40,45,49,53,57,61
57,0.08949,0.08356,0.13171,0.13849,3.14,4,8,13,16,21,25,29,32,36,40,45,49,53,57,61
58,0.09225,0.08672,0.13151,0.13825,3.2,4,8,13,16,21,25,29,32,36,40,45,49,53,57,61
59,0.09484,0.08975,0.13132,0.13802,3.25,4,8,13,16,21,25,29,32,36,40,45,49,53,57,61
60,0.09725,0.09259,0.13114,0.13781,3.3,4,8,13,16,21,25,29,32,36,40,45,49,53,57,61
61,0.09955,0.09525,0.13098,0.1376,3.35,4,8,13,16,21,25,29,32,36,40,45,49,53,57,61
62,0.10183,0.09779,0.13081,0.13741,3.4,4,8,13,16,21,25,29,32,36,40,45,49,53,57,61
63,0.10416,0.10027,0.13064,0.13722,3.45,4,8,13,16,21,25,29,32,36,40,45,49,53,57,61
64,0.10657,0.10274,0.13046,0.13703,3.5,4,8,13,16,21,25,29,32,36,40,45,49,53,57,61
65,0.10908,0.1052,0.13028,0.13685,3.56,4,8,13,16,21,25,29,32,36,40,45,49,53,57,61
66,0.11163,0.10764,0.13009,0.13666,3.61,4,8,13,16,21,25,29,32,36,40,45,49,53,57,61
67,0.11418,0.11003,0.12991,0.13648,3.66,4,8,13,16,21,25,29,32,36,40,45,49,53,57,61
68,0.11668,0.11231,0.12972,0.1363,3.71,4,8,13,16,21,25,29,32,36,40,45,49,53,57,61
69,0.1191,0.11451,0.12955,0.13613,3.76,4,8,13,16,21,25,29,32,36,40,44,49,53,57,61
70,0.12144,0.11667,0.12937,0.13597,3.82,4,8,13,16,21,25,29,32,36,40,44,49,53,57,61
71,0.12373,0.11886,0.12921,0.1358,3.87,4,8,12,16,21,25,29,32,36,40,44,49,53,57,61
72,0.126,0.12111,0.12904,0.13562,3.92,4,8,12,16,21,25,29,32,36,40,44,49,53,57,61
73,0.12826,0.12344,0.12887,0.13544,3.96,4,8,12,16,21,25,29,32,36,40,44,49,53,57,61
74,0.1305,0.12583,0.12871,0.13526,4.02,4,8,12,16,21,25,29,32,36,40,44,49,53,57,61
75,0.1327,0.12827,0.12854,0.13507,4.08,4,8,12,16,21,25,29,32,36,40,44,49,53,57,61
76,0.13484,0.13068,0.12838,0.13488,4.12,4,8,12,16,21,25,29,32,36,40,44,49,53,57,61
77,0.13688,0.13303,0.12823,0.1347,4.18,4,8,12,16,21,25,29,32,36,40,44,49,53,57,61
78,0.13881,0.13528,0.12809,0.13453,4.23,4,8,12,16,21,25,29,32,36,40,44,49,53,57,61
79,0.14063,0.1374,0.12795,0.13436,4.27,4,8,12,16,21,25,29,32,36,40,44,49,53,57,61
80,0.14237,0.13939,0.12782,0.13421,4.32,4,8,12,16,21,25,29,32,36,40,44,49,53,57,61
81,0.14404,0.14127,0.1277,0.13406,4.37,4,8,12,16,21,25,29,32,36,40,44,49,53,57,61
82,0.14568,0.14304,0.12758,0.13392,4.42,4,8,12,16,21,25,29,32,36,40,44,49,53,57,61
83,0.14729,0.14472,0.12746,0.13379,4.48,4,9,12,16,21,25,29,32,36,40,44,49,53,57,61
84,0.14887,0.14633,0.12734,0.13366,4.52,4,9,12,16,21,25,29,32,36,40,44,49,53,57,61
85,0.15043,0.14786,0.12722,0.13354,4.59,4,9,12,16,21,25,29,32,36,40,44,49,53,57,61
86,0.15196,0.14934,0.12711,0.13343,4.65,4,9,12,16,21,25,29,32,36,40,44,49,53,57,61
87,0.15345,0.15077,0.127,0.13332,4.72,4,9,12,16,21,25,29,32,36,40,44,49,53,57,61
88,0.15491,0.15218,0.12689,0.1332,4.76,4,9,12,16,21,25,29,32,36,40,44,49,53,57,61
89,0.15636,0.15362,0.12678,0.13309,4.82,4,9,12,16,21,25,29,32,36,40,44,49,53,57,61
90,0.1578,0.15509,0.12667,0.13298,4.87,4,9,12,16,21,25,29,32,36,40,44,49,53,57,61
91,0.15925,0.1566,0.12656,0.13286,4.92,4,9,12,16,21,25,29,32,36,40,44,49,53,57,61
92,0.1607,0.15816,0.12645,0.13273,4.96,5,9,12,16,21,25,29,32,36,40,44,49,53,57,61
93,0.16215,0.15975,0.12634,0.13261,5.01,5,9,12,16,21,25,29,32,36,40,44,49,53,57,61
94,0.16359,0.16134,0.12623,0.13248,5.06,5,9,12,16,21,25,29,32,36,40,44,49,53,57,61
95,0.16502,0.16293,0.12612,0.13236,5.11,5,9,12,16,21,25,29,32,36,40,44,49,53,57,61
96,0.16644,0.16449,0.12602,0.13223,5.15,5,9,12,16,21,25,29,32,36,40,44,49,53,57,61
97,0.16785,0.16602,0.12591,0.13211,5.2,5,9,12,16,21,25,29,32,36,40,44,49,53,57,61
98,0.16926,0.16751,0.1258,0.13199,5.26,5,9,12,16,21,25,29,32,36,40,44,49,53,57,61
99,0.17068,0.16898,0.1257,0.13188,5.31,5,9,12,16,21,25,29,32,36,40,44,49,53,57,61
100,0.1721,0.17041,0.12559,0.13176,5.36,5,9,12,16,21,25,29,32,36,40,44,49,53,57,61
101,0.17352,0.17182,0.12548,0.13165,5.41,5,9,12,15,21,25,29,32,36,40,44,49,53,57,61
102,0.17493,0.17322,0.12537,0.13154,5.46,5,9,12,15,21,25,29,32,36,40,44,49,53,57,61
103,0.17634,0.17462,0.12527,0.13143,5.51,5,9,12,15,21,25,29,32,36,40,44,49,53,57,61
104,0.17775,0.17603,0.12516,0.13132,5.56,5,9,12,15,21,25,29,32,36,40,44,49,53,57,61
105,0.17917,0.17747,0.12505,0.1312,5.61,5,9,12,15,21,25,29,32,36,40,44,49,53,57,61
106,0.1806,0.17895,0.12494,0.13108,5.67,5,9,12,15,21,25,29,32,36,40,44,49,53,57,61
107,0.18202,0.18045,0.12483,0.13096,5.72,5,9,12,15,21,25,29,32,36,40,44,49,53,57,61
108,0.18346,0.18196,0.12472,0.13084,5.77,5,9,12,15,21,25,29,32,36,40,44,49,53,57,61
109,0.18489,0.18348,0.12461,0.13072,5.82,5,9,12,15,21,25,30,32,36,40,44,49,53,57,61
110,0.18633,0.18499,0.1245,0.1306,5.87,5,9,12,15,21,25,30,32,36,40,44,49,53,57,61
111,0.18778,0.18649,0.12439,0.13048,5.92,5,9,12,15,21,25,30,32,36,40,44,49,53,57,61
112,0.18923,0.18797,0.12428,0.13036,5.96,5,9,12,15,21,25,30,32,36,40,44,49,53,57,61
113,0.19069,0.18944,0.12417,0.13024,6.01,5,9,12,15,21,25,30,32,35,40,44,49,53,57,61
114,0.19215,0.19089,0.12406,0.13013,6.06,5,9,12,15,21,25,30,32,35,40,44,49,53,57,61
115,0.19361,0.19234,0.12395,0.13001,6.11,5,9,12,15,21,25,30,32,35,40,44,49,53,57,61
116,0.19508,0.19379,0.12383,0.12989,6.15,5,9,12,15,21,25,30,32,35,40,44,49,53,57,61
117,0.19656,0.19525,0.12372,0.12978,6.21,5,9,12,15,21,25,30,32,35,40,44,49,53,57,61
118,0.19803,0.19674,0.12361,0.12966,6.27,5,9,12,15,21,25,30,32,35,40,44,49,53,57,61
119,0.19951,0.19824,0.12349,0.12954,6.32,5,9,12,15,21,25,30,32,35,40,44,49,53,57,61
120,0.20099,0.19975,0.12338,0.12941,6.37,5,9,12,15,21,25,30,32,35,40,44,49,53,57,61
121,0.20247,0.20127,0.12326,0.12929,6.43,5,9,12,15,21,25,30,32,35,40,44,49,53,57,61
122,0.20395,0.20279,0.12315,0.12917,6.48,5,9,12,15,21,25,30,32,35,40,44,49,53,57,61
123,0.20543,0.20432,0.12303,0.12904,6.53,5,9,12,15,21,25,30,32,35,40,44,49,53,56,61
124,0.20693,0.20586,0.12292,0.12892,6.58,5,9,12,15,21,25,30,32,35,40,44,49,53,56,61
125,0.20845,0.20741,0.1228,0.12879,6.64,5,9,12,15,21,25,30,32,35,40,44,49,53,56,61
126,0.20999,0.20898,0.12268,0.12866,6.69,5,9,12,15,21,25,30,32,35,40,44,49,53,56,61
127,0.21156,0.21057,0.12256,0.12854,6.73,5,9,12,15,21,25,30,32,35,40,44,49,53,56,61
128,0.21313,0.21217,0.12244,0.12841,6.78,5,9,12,15,21,25,30,32,35,40,44,49,53,56,61
129,0.21472,0.21379,0.12231,0.12827,6.83,5,9,12,15,21,25,30,32,35,40,44,49,53,56,61
130,0.21631,0.21544,0.12219,0.12814,6.89,5,9,12,15,21,25,30,32,35,40,44,49,53,56,61
131,0.21792,0.21711,0.12206,0.128,6.95,5,9,12,15,21,25,30,32,35,40,44,49,53,56,61
132,0.21955,0.21881,0.12194,0.12786,7.02,5,9,12,15,21,25,30,32,35,40,44,49,53,56,61
133,0.2212,0.22052,0.12181,0.12772,7.08,5,9,12,15,21,25,30,32,35,40,44,49,53,56,61
134,0.22288,0.22225,0.12168,0.12758,7.14,5,9,12,15,21,25,30,32,35,40,44,49,53,56,61
135,0.22458,0.22398,0.12154,0.12744,7.18,5,9,12,15,21,25,30,32,35,40,44,49,53,56,61
136,0.2263,0.22572,0.12141,0.1273,7.23,5,9,11,15,21,25,30,32,35,40,44,49,53,56,61
137,0.22804,0.22747,0.12127,0.12715,7.29,5,9,11,15,21,25,30,32,35,40,44,49,53,56,61
138,0.2298,0.22923,0.12113,0.12701,7.34,5,9,11,15,21,25,30,32,35,40,44,49,53,56,61
139,0.23157,0.231,0.12099,0.12686,7.4,5,9,11,15,21,25,30,32,35,40,44,49,53,56,61
140,0.23337,0.23279,0.12085,0.12671,7.46,5,9,11,15,21,25,30,32,35,40,44,49,53,56,60
141,0.2352,0.23462,0.12071,0.12656,7.51,5,9,11,15,21,25,30,32,35,40,44,49,53,56,60
142,0.23705,0.23648,0.12056,0.12641,7.56,5,9,11,15,21,25,30,32,35,40,44,49,53,56,60
143,0.23892,0.23838,0.12041,0.12625,7.61,5,9,11,15,21,25,30,32,35,40,44,49,53,56,60
144,0.24081,0.24032,0.12026,0.12609,7.67,5,9,11,15,21,25,30,32,35,40,44,49,54,56,60
145,0.24272,0.24229,0.12011,0.12593,7.73,5,9,11,15,21,25,30,32,35,40,44,49,54,56,60
146,0.24465,0.24429,0.11996,0.12576,7.78,5,9,11,15,21,25,30,32,35,40,44,49,54,56,60
147,0.2466,0.24631,0.1198,0.12559,7.82,5,9,11,15,21,25,30,32,35,40,44,49,54,56,60
148,0.24857,0.24834,0.11965,0.12542,7.87,5,9,11,15,21,25,30,32,35,40,44,49,54,56,60
149,0.25055,0.25037,0.11949,0.12525,7.93,5,9,11,15,21,25,30,32,35,40,44,49,54,56,60
150,0.25254,0.2524,0.11933,0.12508,7.98,5,9,11,15,21,25,30,32,35,40,44,49,54,56,60
151,0.25454,0.25442,0.11917,0.12491,8.05,5,9,11,15,22,25,30,32,35,40,44,49,54,56,60
152,0.25655,0.25644,0.11901,0.12475,8.11,5,9,11,15,22,25,30,32,35,40,44,49,54,56,60
153,0.25856,0.25845,0.11885,0.12458,8.16,5,9,11,14,22,25,29,32,35,40,44,49,54,56,60
154,0.26058,0.2605,0.11869,0.1244,8.21,5,9,11,14,22,25,29,32,35,40,44,49,54,56,60
155,0.26261,0.26257,0.11853,0.12423,8.26,5,9,11,14,22,25,29,32,35,39,44,49,54,56,60
156,0.26464,0.26467,0.11836,0.12405,8.33,5,9,11,14,22,25,29,32,35,39,44,49,54,56,60
157,0.26667,0.26678,0.1182,0.12387,8.38,5,9,11,14,22,25,29,32,35,39,44,49,54,56,60
158,0.26871,0.26892,0.11803,0.12369,8.45,5,9,11,14,22,25,29,32,35,39,44,49,54,56,60
159,0.27075,0.27103,0.11787,0.12352,8.51,5,9,11,14,22,25,29,32,35,39,44,49,54,56,60
160,0.27278,0.27313,0.1177,0.12334,8.56,5,9,11,14,22,25,29,32,35,39,44,49,54,56,60
161,0.27482,0.27522,0.11754,0.12316,8.62,5,9,11,14,22,25,29,32,35,39,44,49,54,56,60
162,0.27685,0.27731,0.11737,0.12298,8.67,5,9,11,14,22,25,29,32,35,39,44,49,54,56,60
163,0.27889,0.2794,0.11721,0.1228,8.72,5,9,11,14,22,25,29,32,35,39,44,49,54,56,60
164,0.28094,0.2815,0.11704,0.12263,8.78,5,9,11,14,22,25,29,32,35,39,44,49,54,56,60
165,0.283,0.28362,0.11687,0.12244,8.83,5,9,11,14,22,25,29,32,35,39,44,49,54,56,60
166,0.28506,0.28576,0.11671,0.12226,8.88,5,9,11,14,22,25,29,32,35,39,44,49,54,56,60
167,0.28713,0.28789,0.11654,0.12208,8.94,5,9,11,14,22,25,29,32,35,39,44,49,54,56,60
168,0.2892,0.29003,0.11637,0.1219,8.99,5,9,11,14,22,25,29,32,35,39,44,49,54,56,60
169,0.29128,0.29214,0.1162,0.12171,9.04,5,9,11,14,22,25,29,32,35,39,43,49,54,56,60
170,0.29337,0.29425,0.11603,0.12153,9.09,5,9,11,14,22,26,29,32,35,39,43,49,54,56,60
171,0.29546,0.29635,0.11585,0.12135,9.15,5,9,11,14,22,26,29,32,35,39,43,49,54,56,60
172,0.29756,0.29847,0.11568,0.12117,9.2,5,9,11,14,22,26,29,32,35,39,43,49,54,56,60
173,0.29967,0.30062,0.11551,0.12098,9.25,5,9,11,14,22,26,29,32,35,39,43,49,54,56,60
174,0.30179,0.30281,0.11533,0.12079,9.31,5,9,11,14,22,26,29,32,35,39,43,49,54,56,60
175,0.30391,0.305,0.11516,0.1206,9.37,5,9,11,14,22,26,29,32,35,39,43,49,54,56,60
176,0.30605,0.30718,0.11498,0.12041,9.42,5,9,11,14,22,26,29,32,35,39,43,49,54,56,60
177,0.30819,0.30935,0.1148,0.12023,9.47,5,9,11,14,22,26,29,32,35,39,43,49,54,56,60
178,0.31034,0.31151,0.11462,0.12004,9.52,5,9,11,14,22,26,29,32,35,39,43,49,54,56,60
179,0.31251,0.31368,0.11444,0.11985,9.58,5,9,11,14,22,26,29,32,35,39,43,49,54,56,60
180,0.31468,0.31588,0.11426,0.11966,9.64,5,9,11,14,22,26,29,32,35,39,43,49,54,56,60
181,0.31687,0.3181,0.11408,0.11946,9.69,5,9,11,14,22,26,29,32,35,39,43,49,54,56,60
182,0.31906,0.32034,0.1139,0.11926,9.74,5,9,11,14,22,26,29,32,35,39,43,49,54,56,60
183,0.32126,0.32258,0.11371,0.11907,9.8,5,9,11,14,22,26,29,32,35,39,43,49,54,56,60
184,0.32347,0.32482,0.11353,0.11887,9.86,5,8,11,14,22,26,29,32,35,39,43,49,54,56,60
185,0.32569,0.32705,0.11334,0.11867,9.91,5,8,11,14,22,26,29,32,35,39,43,49,54,56,60
186,0.32792,0.32928,0.11315,0.11848,9.97,5,8,11,14,22,26,29,32,35,39,43,49,54,56,60
187,0.33015,0.33154,0.11297,0.11828,10.01,5,8,11,14,22,26,29,32,35,39,43,49,54,56,60
188,0.3324,0.33381,0.11278,0.11808,10.07,5,8,11,14,22,26,29,32,35,39,43,49,54,56,60
189,0.33465,0.3361,0.11259,0.11787,10.12,5,8,11,14,22,26,29,32,35,39,43,49,54,56,60
190,0.33691,0.3384,0.1124,0.11767,10.19,5,8,11,14,22,26,29,32,35,39,43,49,54,56,60
191,0.33917,0.34068,0.1122,0.11747,10.24,5,8,11,14,22,26,29,32,35,39,43,49,54,56,60
192,0.34144,0.34295,0.11201,0.11726,10.28,5,8,11,14,22,26,29,32,35,39,43,49,54,56,60
193,0.34372,0.34522,0.11182,0.11706,10.34,5,8,11,14,22,26,29,32,35,39,43,49,54,56,60
194,0.34601,0.3475,0.11162,0.11686,10.39,5,8,11,14,22,26,29,32,35,39,43,49,54,56,60
195,0.3483,0.3498,0.11143,0.11665,10.44,5,8,11,14,22,26,29,32,35,39,43,49,54,56,60
196,0.3506,0.3521,0.11123,0.11644,10.49,5,8,11,14,22,26,29,32,35,39,43,49,54,56,60
197,0.3529,0.35439,0.11103,0.11624,10.55,5,8,11,14,22,26,29,32,35,39,43,49,54,56,60
