epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20
0,0,0,0.21596,0.21513,0.22,3,6,9,12,16,19,22,25,28,31,34,37,40,44,47,50,53,56,59,62
1,0,0,0.20998,0.20915,0.32,3,6,9,12,16,19,22,25,28,31,34,37,40,44,47,50,53,56,59,62
2,0,0,0.20418,0.20334,0.41,3,6,9,12,16,19,22,25,28,31,34,37,40,44,47,50,53,56,59,62
3,0,0,0.1985,0.19765,0.47,3,6,9,12,16,19,22,25,28,31,34,37,40,44,47,50,53,56,59,62
4,0,0,0.1929,0.19206,0.54,3,6,9,12,16,19,22,25,28,31,34,37,40,44,47,50,53,56,59,62
5,0,0,0.18744,0.1866,0.61,3,6,9,12,16,19,22,25,28,31,34,37,40,43,47,50,53,56,59,62
6,0,0,0.18212,0.18129,0.69,3,6,9,12,16,19,22,25,28,31,34,37,40,43,47,50,53,56,59,62
7,0,0,0.17692,0.1761,0.76,3,6,9,12,16,19,22,25,28,31,34,37,40,43,47,50,53,56,59,62
8,0,0,0.17185,0.17104,0.82,3,6,9,12,16,19,22,25,28,31,34,37,40,43,47,50,53,56,59,62
9,0,0,0.16692,0.16613,0.88,3,6,9,12,16,19,22,25,28,31,34,37,40,43,47,50,53,56,59,62
10,0,0,0.16215,0.16139,0.95,3,6,9,12,16,19,22,25,28,31,34,37,40,43,47,50,53,56,59,62
11,0,0,0.15756,0.15684,1.02,3,6,9,12,16,19,22,25,28,31,34,37,40,43,47,50,53,56,59,62
12,0,0,0.15319,0.1525,1.07,3,6,9,12,16,19,22,25,28,31,34,37,40,43,47,50,53,56,59,62
13,0,0,0.14905,0.14841,1.14,3,6,9,12,16,19,22,25,28,31,34,38,40,43,47,50,53,56,59,62
14,0,0,0.14516,0.14458,1.2,3,6,9,12,16,19,22,25,28,31,34,38,40,43,47,50,53,56,59,62
15,0,0,0.14156,0.14104,1.28,3,6,9,12,16,19,22,25,28,31,34,38,40,43,47,50,53,56,59,62
16,0,0,0.13826,0.13781,1.35,3,6,9,12,16,19,22,25,28,31,34,38,40,43,46,50,53,56,59,62
17,0,0,0.1353,0.13492,1.41,3,6,9,12,16,19,22,25,28,31,34,38,40,43,46,50,53,56,59,62
18,0.02756,0.03385,0.13268,0.1324,1.47,3,6,9,12,16,19,22,25,28,31,34,38,40,43,46,50,53,56,59,62
19,0.06023,0.06495,0.13043,0.13025,1.54,3,6,9,12,16,19,22,25,28,31,34,38,40,43,46,50,53,56,59,62
20,0.08689,0.09001,0.12857,0.12849,1.63,3,6,9,12,16,19,22,25,28,31,34,38,40,43,46,50,53,56,59,62
21,0.10767,0.1092,0.1271,0.12713,1.69,3,6,9,12,16,19,22,25,28,31,34,38,40,43,46,50,53,56,59,62
22,0.12276,0.12275,0.12602,0.12616,1.75,3,6,9,12,16,19,22,25,28,31,34,38,40,43,46,50,53,56,59,62
23,0.13248,0.13092,0.12532,0.12557,1.82,3,6,9,12,16,19,22,25,28,31,34,38,40,43,46,50,53,56,59,62
24,0.13731,0.13421,0.12497,0.12533,1.88,3,6,9,12,16,19,22,25,28,31,34,38,40,43,46,50,53,56,59,62
25,0.1379,0.13333,0.12492,0.1254,1.95,3,6,9,12,16,19,22,25,28,31,34,38,40,43,46,50,53,56,59,62
26,0.13516,0.12912,0.12512,0.1257,2.02,3,6,9,12,16,19,22,25,28,31,34,38,40,43,46,50,53,56,59,62
27,0.13015,0.12278,0.12548,0.12616,2.09,3,6,9,12,16,19,22,25,28,31,34,38,40,43,46,50,53,56,59,62
28,0.1241,0.11558,0.12592,0.12668,2.16,3,6,9,12,16,19,22,25,28,31,34,38,40,43,46,50,53,56,59,62
29,0.1182,0.10879,0.12634,0.12716,2.24,3,6,9,12,16,19,22,25,28,31,34,38,40,43,46,50,53,56,59,62
30,0.1134,0.10338,0.12669,0.12755,2.31,3,6,9,12,16,19,22,25,28,31,34,38,40,43,46,50,53,56,59,62
31,0.11034,0.09996,0.12691,0.12779,2.39,3,6,9,12,16,19,22,25,28,31,34,38,40,43,46,50,53,56,59,62
