epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5
0,0,0,0.23858,0.24983,0.08,11,22,33,44,54
1,0,0,0.23485,0.24616,0.1,11,22,33,44,54
2,0,0,0.23109,0.24246,0.12,11,22,33,44,54
3,0,0,0.2273,0.23873,0.14,11,22,33,44,54
4,0,0,0.22349,0.23498,0.16,11,22,33,44,54
5,0,0,0.21965,0.23121,0.18,11,22,33,43,54
6,0,0,0.21579,0.22742,0.2,11,22,33,43,54
7,0,0,0.2119,0.22362,0.22,11,22,33,43,54
8,0,0,0.20801,0.21981,0.24,11,22,33,43,54
9,0,0,0.2041,0.21598,0.26,11,22,33,43,54
10,0,0,0.20019,0.21214,0.28,11,22,33,43,54
11,0,0,0.19628,0.20831,0.29,11,22,33,43,54
12,0,0,0.19238,0.2045,0.31,11,22,33,43,54
13,0,0,0.18852,0.20073,0.34,11,22,33,43,54
14,0,0,0.1847,0.19699,0.36,11,22,33,43,54
15,0,0,0.18095,0.19331,0.37,11,22,33,43,54
16,0,0,0.17727,0.18971,0.4,11,22,33,43,54
17,0,0,0.1737,0.1862,0.42,11,22,33,43,54
18,0,0,0.17026,0.18282,0.44,11,22,33,43,54
19,0,0,0.16696,0.17956,0.46,11,22,33,43,54
20,0,0,0.16382,0.17646,0.48,11,22,33,43,54
21,0,0,0.16088,0.17353,0.5,11,22,33,43,54
22,0,0,0.15815,0.17079,0.51,11,22,33,43,54
23,0,0,0.15565,0.16827,0.53,11,22,33,43,54
24,0,0,0.15341,0.16598,0.55,11,22,33,43,54
25,0,0,0.15143,0.16394,0.58,11,22,33,43,54
26,0,0,0.14972,0.16215,0.6,11,22,33,43,54
27,0,0,0.14829,0.16062,0.62,11,22,33,43,54
28,0,0,0.14712,0.15935,0.64,11,22,33,43,54
29,0,0,0.14621,0.15831,0.66,11,22,33,43,54
30,0,0,0.14552,0.15749,0.68,11,22,33,43,54
31,0,0,0.14504,0.15687,0.7,11,22,33,43,54
32,0,0,0.14472,0.15642,0.72,11,22,33,43,54
33,0,0,0.14453,0.15609,0.73,11,22,33,43,54
